Id,averageRating,numVotes,ordering,title,region,language,types,attributes,isOriginalTitle,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors,writers,Time Interval
tt0035423,6.4,78045,33.0,Kate and Leopold,US,\N,\N,alternative spelling,0.0,movie,Kate & Leopold,Kate & Leopold,0,2001,\N,118,"Comedy,Fantasy,Romance",nm0003506,"nm0737216,nm0003506","<[2000,2010)>"
tt0042192,8.2,118295,20.0,All About Eve,US,\N,imdbDisplay,\N,0.0,movie,All About Eve,All About Eve,0,1950,\N,138,Drama,nm0000581,"nm0000581,nm0650581","<[1950,1960)>"
tt0042208,7.9,23552,6.0,The Asphalt Jungle (The City Under the City),US,\N,\N,poster title,0.0,movie,The Asphalt Jungle,The Asphalt Jungle,0,1950,\N,112,"Crime,Drama,Film-Noir",nm0001379,"nm0534693,nm0001379,nm0122446","<[1950,1960)>"
tt0042332,7.3,142811,30.0,Cinderella,US,\N,imdbDisplay,\N,0.0,movie,Cinderella,Cinderella,0,1950,\N,74,"Animation,Family,Fantasy","nm0314671,nm0527217,nm0414144","nm0674518,nm0670328,nm0672093,nm0780799,nm0382548,nm0109205,nm0716206,nm0027011,nm0727370,nm0710683,nm0850895","<[1950,1960)>"
tt0042546,7.9,52056,9.0,Harvey,US,\N,imdbDisplay,\N,0.0,movie,Harvey,Harvey,0,1950,\N,104,"Comedy,Drama,Fantasy",nm0467396,"nm0153808,nm0110958,nm0175333","<[1950,1960)>"
tt0042593,8.0,25552,32.0,Behind the Mask,US,\N,working,\N,0.0,movie,In a Lonely Place,In a Lonely Place,0,1950,\N,94,"Drama,Film-Noir,Mystery",nm0712947,"nm0813584,nm0636002,nm0400568","<[1950,1960)>"
tt0042876,8.2,149143,29.0,Rashomon,US,\N,alternative,\N,0.0,movie,Rashomon,Rashômon,0,1950,\N,88,"Crime,Drama,Mystery",nm0000041,"nm0015611,nm0000041,nm0368074","<[1950,1960)>"
tt0043014,8.4,197093,41.0,Sunset Blvd.,US,\N,\N,\N,0.0,movie,Sunset Blvd.,Sunset Blvd.,0,1950,\N,110,"Drama,Film-Noir",nm0000697,"nm0102818,nm0000697,nm0551261","<[1950,1960)>"
tt0043265,7.7,70437,38.0,The African Queen,US,\N,imdbDisplay,\N,0.0,movie,The African Queen,The African Queen,0,1951,\N,105,"Adventure,Drama,Romance",nm0001379,"nm0286163,nm0012938,nm0001379,nm0171924,nm0896830","<[1950,1960)>"
tt0043274,7.4,126481,33.0,Alicia en el país de las maravillas,US,es,\N,\N,0.0,movie,Alice in Wonderland,Alice in Wonderland,0,1951,\N,75,"Adventure,Animation,Family","nm0314671,nm0414144,nm0527217,nm0455741","nm0140902,nm0382548,nm0780799,nm0670328,nm0672093,nm0727370,nm0052520,nm0183183,nm0447039,nm0335469,nm0400056,nm0174974,nm0649603,nm0906929,nm0404717","<[1950,1960)>"
tt0043278,7.2,29846,18.0,An American in Paris,US,\N,imdbDisplay,\N,0.0,movie,An American in Paris,An American in Paris,0,1951,\N,114,"Drama,Musical,Romance",nm0591486,nm0503585,"<[1950,1960)>"
tt0043338,8.1,30721,18.0,The Human Interest Story,US,\N,working,\N,0.0,movie,Ace in the Hole,Ace in the Hole,0,1951,\N,111,"Drama,Film-Noir",nm0000697,"nm0000697,nm0760488,nm0628305,nm0221528","<[1950,1960)>"
tt0043456,7.7,75530,27.0,Farewell to the Master,US,\N,working,\N,0.0,movie,The Day the Earth Stood Still,The Day the Earth Stood Still,0,1951,\N,92,"Drama,Sci-Fi",nm0936404,"nm0636002,nm0060915","<[1950,1960)>"
tt0044079,7.9,121511,50.0,Strangers on a Train,US,\N,\N,\N,0.0,movie,Strangers on a Train,Strangers on a Train,0,1951,\N,101,"Crime,Film-Noir,Thriller",nm0000033,"nm0151452,nm0650262,nm0177336,nm0383604,nm0372942","<[1950,1960)>"
tt0044081,8.0,97561,38.0,A Streetcar Named Desire,US,\N,imdbDisplay,\N,0.0,movie,A Streetcar Named Desire,A Streetcar Named Desire,0,1951,\N,122,Drama,nm0001415,"nm0931783,nm0766665","<[1950,1960)>"
tt0044121,7.1,25019,30.0,The Thing from Another World,US,\N,\N,\N,0.0,movie,The Thing from Another World,The Thing from Another World,0,1951,\N,87,"Horror,Sci-Fi","nm0638528,nm0001328","nm0496468,nm0132168,nm0001328,nm0372942","<[1950,1960)>"
tt0044706,7.9,95818,39.0,High Noon,US,\N,imdbDisplay,\N,0.0,movie,High Noon,High Noon,0,1952,\N,85,"Drama,Thriller,Western",nm0003593,"nm0286025,nm0192356","<[1950,1960)>"
tt0044741,8.3,66077,30.0,Ikiru,US,\N,imdbDisplay,\N,0.0,movie,Ikiru,Ikiru,0,1952,\N,143,Drama,nm0000041,"nm0000041,nm0368074,nm0644823","<[1950,1960)>"
tt0045061,7.7,33955,13.0,The Quiet Man,US,\N,imdbDisplay,\N,0.0,movie,The Quiet Man,The Quiet Man,0,1952,\N,129,"Comedy,Drama,Romance",nm0000406,"nm0637793,nm0909775,nm0000406","<[1950,1960)>"
tt0045152,8.3,214264,23.0,Singin' in the Rain,US,\N,imdbDisplay,\N,0.0,movie,Singin' in the Rain,Singin' in the Rain,0,1952,\N,103,"Comedy,Musical,Romance","nm0000037,nm0002045","nm0173679,nm0337582","<[1950,1960)>"
tt0045274,8.2,22375,1.0,Umberto D.,US,\N,imdbDisplay,\N,0.0,movie,Umberto D.,Umberto D.,0,1952,\N,89,Drama,nm0001120,nm0953790,"<[1950,1960)>"
tt0045555,8.0,23020,10.0,The Big Heat,US,\N,imdbDisplay,\N,0.0,movie,The Big Heat,The Big Heat,0,1953,\N,89,"Crime,Film-Noir,Thriller",nm0000485,"nm0091213,nm0569423","<[1950,1960)>"
tt0045793,7.6,42547,7.0,From Here to Eternity,US,\N,imdbDisplay,\N,0.0,movie,From Here to Eternity,From Here to Eternity,0,1953,\N,118,"Drama,Romance,War",nm0003593,"nm0850168,nm0428296","<[1950,1960)>"
tt0045810,7.2,30945,35.0,Howard Hawks' Gentlemen Prefer Blondes,US,\N,\N,complete title,0.0,movie,Gentlemen Prefer Blondes,Gentlemen Prefer Blondes,0,1953,\N,91,"Comedy,Musical,Romance",nm0001328,"nm0496468,nm0276284,nm0002616","<[1950,1960)>"
tt0045891,6.9,20173,26.0,How to Marry a Millionaire,US,\N,imdbDisplay,\N,0.0,movie,How to Marry a Millionaire,How to Marry a Millionaire,0,1953,\N,95,"Comedy,Drama,Romance",nm0624535,"nm0425913,nm0015399,nm0262368,nm0016534","<[1950,1960)>"
tt0046183,7.3,123684,6.0,Peter Pan,US,\N,imdbDisplay,\N,0.0,movie,Peter Pan,Peter Pan,0,1953,\N,77,"Adventure,Animation,Family","nm0414144,nm0527217,nm0314671,nm0455741","nm0057381,nm0780799,nm0672093,nm0670328,nm0382548,nm0727370,nm0052520,nm0942723,nm0183183","<[1950,1960)>"
tt0046250,8.0,125158,21.0,Roman Holiday,US,\N,imdbDisplay,\N,0.0,movie,Roman Holiday,Roman Holiday,0,1953,\N,118,"Comedy,Romance",nm0943758,"nm0402848,nm0226538,nm0874308","<[1950,1960)>"
tt0046268,8.1,53280,44.0,The Wages of Fear,US,\N,imdbDisplay,\N,0.0,movie,The Wages of Fear,Le salaire de la peur,0,1953,\N,131,"Adventure,Drama,Thriller",nm0167241,"nm1064118,nm0167241,nm0350823","<[1950,1960)>"
tt0046303,7.6,36423,34.0,Shane,US,\N,\N,\N,0.0,movie,Shane,Shane,0,1953,\N,118,"Drama,Western",nm0828419,"nm0349238,nm0792042,nm0769627","<[1950,1960)>"
tt0046359,8.0,50449,26.0,Stalag 17,US,\N,imdbDisplay,\N,0.0,movie,Stalag 17,Stalag 17,0,1953,\N,120,"Comedy,Drama,War",nm0000697,"nm0000697,nm0089637,nm0079654,nm0874522","<[1950,1960)>"
